Marker,Time_stamp
wait,79993.77994707102
wait,79993.77995697102
wait,79993.77996677104
wait,79993.77997657104
wait,79993.77998627104
wait,79993.77999597104
wait,79993.78000577104
wait,79993.78012217108
wait,79993.78013217109
wait,79993.7801420711
wait,79993.78015207111
wait,79993.78016197111
wait,79993.78017167113
wait,79993.78018147111
wait,79993.78019117111
wait,79993.78020117112
wait,79993.78021097113
wait,79993.78022107114
wait,79993.78023087114
wait,79993.78024067114
wait,79993.78025047114
wait,79993.78026037115
wait,79993.78027027115
wait,79993.78028017117
wait,79993.78028997117
wait,79993.78029997116
wait,79993.78030997117
wait,79993.78031997118
wait,79993.78032987118
wait,79993.78033977118
wait,79993.78034957119
wait,79993.78035947119
wait,79993.78036927119
wait,79993.7803791712
wait,79993.78038887121
wait,79993.78039877121
wait,79993.78040867121
wait,79993.78041857122
wait,79993.78042837122
wait,79993.78043837122
wait,79993.78044827124
